dpr_id,dataset,annotation_type
12--qwen-2-5-72b,TATQA,overlapping
57--llama-3-3-70b,TATQA,overlapping
102--mixtral-8x22b,HybridQA,overlapping
393--DeepSeek-V3,HybridQA,overlapping
253--llama-3-3-70b,HybridQA,overlapping
175--llama-3-3-70b,HybridQA,overlapping
102--llama-3-3-70b,HybridQA,overlapping
339--mixtral-8x22b,HybridQA,overlapping
39--qwen-2-5-72b,ConvFinQA,overlapping
180--DeepSeek-V3,ConvFinQA,overlapping
205--mixtral-8x22b,ConvFinQA,overlapping
17--mixtral-8x22b,TATQA,overlapping
48--mixtral-8x22b,HybridQA,overlapping
334--mixtral-8x22b,HybridQA,overlapping
267--llama-3-3-70b,HybridQA,overlapping
330--llama-3-3-70b,HybridQA,overlapping
227--DeepSeek-V3,HybridQA,overlapping
90--gpt-oss-120b,HybridQA,overlapping
86--mixtral-8x22b,HybridQA,overlapping
355--DeepSeek-V3,HybridQA,overlapping
210--llama-3-3-70b,HybridQA,overlapping
312--gpt-oss-120b,HybridQA,overlapping
86--gpt-oss-120b,ConvFinQA,overlapping
177--gpt-oss-120b,ConvFinQA,overlapping
254--DeepSeek-V3,HybridQA,overlapping
351--qwen-2-5-72b,HybridQA,overlapping
212--llama-3-3-70b,HybridQA,overlapping
58--DeepSeek-V3,HybridQA,overlapping
418--DeepSeek-V3,HybridQA,overlapping
401--llama-3-3-70b,HybridQA,overlapping
44--mixtral-8x22b,HybridQA,overlapping
36--llama-3-3-70b,HybridQA,overlapping
337--gpt-oss-120b,HybridQA,overlapping
363--qwen-2-5-72b,HybridQA,overlapping
61--llama-3-3-70b,ConvFinQA,overlapping
163--qwen-2-5-72b,ConvFinQA,overlapping
43--DeepSeek-V3,TATQA,single
232--qwen-2-5-72b,HybridQA,single
222--DeepSeek-V3,HybridQA,single
253--gpt-oss-120b,HybridQA,single
126--mixtral-8x22b,ConvFinQA,single
131--llama-3-3-70b,HybridQA,single
288--qwen-2-5-72b,HybridQA,single
245--qwen-2-5-72b,HybridQA,single
249--llama-3-3-70b,HybridQA,single
164--gpt-oss-120b,ConvFinQA,single
380--llama-3-3-70b,HybridQA,single
403--gpt-oss-120b,HybridQA,single
320--gpt-oss-120b,HybridQA,single
191--gpt-oss-120b,HybridQA,single
96--DeepSeek-V3,ConvFinQA,single
