dpr_id,dataset,annotation_type
10--mixtral-8x22b,TATQA,overlapping
12--mixtral-8x22b,TATQA,overlapping
421--gpt-oss-120b,HybridQA,overlapping
427--DeepSeek-V3,HybridQA,overlapping
392--llama-3-3-70b,HybridQA,overlapping
284--mixtral-8x22b,HybridQA,overlapping
296--mixtral-8x22b,HybridQA,overlapping
426--llama-3-3-70b,HybridQA,overlapping
200--DeepSeek-V3,ConvFinQA,overlapping
87--mixtral-8x22b,ConvFinQA,overlapping
5--mixtral-8x22b,ConvFinQA,overlapping
183--gpt-oss-120b,HybridQA,overlapping
386--llama-3-3-70b,HybridQA,overlapping
206--mixtral-8x22b,HybridQA,overlapping
77--DeepSeek-V3,HybridQA,overlapping
342--DeepSeek-V3,HybridQA,overlapping
387--mixtral-8x22b,HybridQA,overlapping
257--qwen-2-5-72b,HybridQA,overlapping
299--mixtral-8x22b,HybridQA,overlapping
313--DeepSeek-V3,HybridQA,overlapping
54--qwen-2-5-72b,HybridQA,overlapping
119--gpt-oss-120b,HybridQA,overlapping
17--gpt-oss-120b,ConvFinQA,overlapping
59--llama-3-3-70b,ConvFinQA,overlapping
388--DeepSeek-V3,HybridQA,overlapping
182--llama-3-3-70b,HybridQA,overlapping
282--gpt-oss-120b,HybridQA,overlapping
188--mixtral-8x22b,HybridQA,overlapping
106--mixtral-8x22b,HybridQA,overlapping
5--gpt-oss-120b,HybridQA,overlapping
235--llama-3-3-70b,HybridQA,overlapping
4--qwen-2-5-72b,HybridQA,overlapping
225--mixtral-8x22b,HybridQA,overlapping
264--llama-3-3-70b,HybridQA,overlapping
134--DeepSeek-V3,ConvFinQA,overlapping
124--llama-3-3-70b,ConvFinQA,overlapping
50--qwen-2-5-72b,TATQA,single
281--qwen-2-5-72b,HybridQA,single
426--qwen-2-5-72b,HybridQA,single
248--llama-3-3-70b,HybridQA,single
27--DeepSeek-V3,ConvFinQA,single
386--mixtral-8x22b,HybridQA,single
368--DeepSeek-V3,HybridQA,single
25--qwen-2-5-72b,HybridQA,single
299--gpt-oss-120b,HybridQA,single
2--llama-3-3-70b,ConvFinQA,single
364--mixtral-8x22b,HybridQA,single
43--qwen-2-5-72b,HybridQA,single
76--DeepSeek-V3,HybridQA,single
71--llama-3-3-70b,HybridQA,single
65--mixtral-8x22b,ConvFinQA,single
